Route,PartCount,AverageFlowTime,MedianFlowTime,P95FlowTime,AverageStationsVisited,FailureRate,FailureRate (%),Share (%),Confidence,MaterialRoute
29 -> 30 -> 33 -> 34 -> 36 -> 37,523296,0.036753517,0.03,0.06,6.0,0.005065966489329175,0.5065966489329176,44.22875051345636,Primary,Material route
29 -> 30 -> 33 -> 34 -> 35 -> 37,507004,0.034705266,0.03,0.06,6.0,0.004934872308699734,0.4934872308699734,42.85175775340234,Primary,Material route
29 -> 30 -> 31 -> 33 -> 34 -> 36 -> 37,18808,0.043453846,0.03,0.06,7.0,0.0021799234368353893,0.21799234368353892,1.589643986686478,Primary,Material route
29 -> 30 -> 31 -> 33 -> 34 -> 35 -> 37,18348,0.04077175,0.03,0.06,7.0,0.0017440592980161324,0.17440592980161324,1.550764986586745,Primary,Material route
39 -> 40 -> 41 -> 43 -> 45 -> 47 -> 48 -> 50 -> 51,15158,0.043487266,0.03,0.09,9.0,0.0054096846549676735,0.5409684654967674,1.2811475728516395,Primary,Material route
39 -> 40 -> 41 -> 44 -> 45 -> 47 -> 48 -> 50 -> 51,14780,0.040306494,0.03,0.08,9.0,0.004533152909336942,0.4533152909336942,1.2491991771175108,Primary,Material route
39 -> 40 -> 41 -> 43 -> 45 -> 47 -> 48 -> 49 -> 51,14755,0.0412755,0.03,0.09,9.0,0.004676380887834632,0.4676380887834632,1.2470861879816557,Primary,Material route
39 -> 40 -> 41 -> 44 -> 45 -> 47 -> 48 -> 49 -> 51,14415,0.040664583,0.03,0.08,9.0,0.005133541449878599,0.5133541449878599,1.218349535734027,Primary,Material route
29 -> 30 -> 33 -> 34 -> 35 -> 37 -> 38,11906,14.648898,7.835,49.8175,7.0,0.009323030404837897,0.9323030404837898,1.0062899460596133,Primary,Material route
29 -> 30 -> 33 -> 34 -> 36 -> 37 -> 38,11536,14.774078,8.09,49.97,7.0,0.006674757281553398,0.6674757281553397,0.9750177068489584,Primary,Minor route
29 -> 30 -> 32 -> 33 -> 34 -> 36 -> 37,8397,0.16994165,0.08,0.39,7.0,0.0053590568060021436,0.5359056806002144,0.7097107909509972,Primary,Minor route
29 -> 30 -> 32 -> 33 -> 34 -> 35 -> 37,8155,0.17687555,0.07,0.42,7.0,0.005150214592274678,0.5150214592274678,0.6892570561159204,Primary,Minor route
29 -> 30 -> 32 -> 36 -> 37,1939,0.099241875,0.07,0.18,5.0,0.22692109334708613,22.69210933470861,0.16388343737691838,Primary,Minor route
38,1875,0.0,0.0,0.0,1.0,0.005866666666666667,0.5866666666666667,0.15847418518912942,Primary,Minor route
29 -> 30 -> 32 -> 35 -> 37,1674,0.10126045,0.07,0.17,5.0,0.2174432497013142,21.74432497013142,0.14148575253685475,Primary,Minor route
29 -> 30 -> 32 -> 34 -> 36 -> 37,887,0.1129425,0.07,0.2,6.0,0.09470124013528748,9.470124013528748,0.07496885454013749,Primary,Minor route
29 -> 30 -> 32 -> 34 -> 35 -> 37,834,0.08780576,0.07,0.17,6.0,0.10071942446043165,10.071942446043165,0.07048931757212477,Primary,Minor route
29 -> 30 -> 33 -> 36 -> 37,724,0.032983426,0.03,0.07,5.0,0.004143646408839779,0.4143646408839779,0.061192165374362506,Primary,Minor route
29 -> 30 -> 33 -> 35 -> 37,706,0.034645893,0.03,0.05,5.0,0.0028328611898017,0.28328611898017,0.059670813196546865,Primary,Minor route
30 -> 33 -> 34 -> 36 -> 37,704,0.027542613,0.02,0.05,5.0,0.011363636363636364,1.1363636363636365,0.059501774065678456,Primary,Minor route
30 -> 33 -> 34 -> 35 -> 37,693,0.032914862,0.02,0.04,5.0,0.004329004329004329,0.4329004329004329,0.05857205884590223,Primary,Minor route
29 -> 33 -> 34 -> 35 -> 37,624,0.03551282,0.03,0.05,5.0,0.003205128205128205,0.3205128205128205,0.05274020883094228,Primary,Minor route
29 -> 33 -> 34 -> 36 -> 37,596,0.031208055,0.03,0.06,5.0,0.006711409395973154,0.6711409395973155,0.05037366099878461,Primary,Minor route
29 -> 30 -> 31 -> 32 -> 33 -> 34 -> 36 -> 37,457,0.2218162,0.07,0.43,8.0,0.002188183807439825,0.2188183807439825,0.03862544140343048,Flagged (low volume),Minor route
29 -> 30 -> 31 -> 32 -> 33 -> 34 -> 35 -> 37,447,0.15570469,0.07,0.337,8.0,0.0022371364653243847,0.22371364653243847,0.03778024574908846,Flagged (low volume),Minor route
29 -> 30 -> 33 -> 34 -> 35,434,0.041820277,0.02,0.05,5.0,0.002304147465437788,0.2304147465437788,0.03668149139844382,Flagged (low volume),Minor route
29 -> 30 -> 33 -> 34 -> 36,356,0.10932584,0.03,0.07,5.0,0.0056179775280898875,0.5617977528089888,0.030088965294576043,Flagged (low volume),Minor route
29 -> 30 -> 32 -> 36 -> 37 -> 38,336,12.329137,5.065,37.495,6.0,0.002976190476190476,0.2976190476190476,0.028398573985891996,Flagged (low volume),Minor route
29 -> 30 -> 32 -> 35 -> 37 -> 38,273,10.0063,5.21,35.306,6.0,0.014652014652014652,1.465201465201465,0.023073841363537247,Flagged (low volume),Minor route
29 -> 30 -> 31 -> 33 -> 34 -> 35 -> 37 -> 38,240,1.9216667,0.995,5.526,8.0,0.0,0.0,0.02028469570420857,Flagged (low volume),Minor route
29 -> 30 -> 32 -> 33 -> 34 -> 36 -> 37 -> 38,230,20.43226,11.219999,71.9485,8.0,0.008695652173913044,0.8695652173913043,0.019439500049866543,Flagged (low volume),Minor route
29 -> 30 -> 31 -> 33 -> 34 -> 36 -> 37 -> 38,220,2.0690455,0.975,6.641,8.0,0.004545454545454545,0.45454545454545453,0.01859430439552452,Flagged (low volume),Minor route
39 -> 40 -> 41 -> 43 -> 44 -> 45 -> 47 -> 48 -> 50 -> 51,213,0.15624413,0.09,0.23,10.0,0.0,0.0,0.018002667437485104,Flagged (low volume),Minor route
29 -> 30 -> 32 -> 33 -> 34 -> 35 -> 37 -> 38,198,16.081314,7.6949997,60.451,8.0,0.005050505050505051,0.5050505050505051,0.016734873955972066,Flagged (low volume),Minor route
39 -> 40 -> 41 -> 43 -> 44 -> 45 -> 47 -> 48 -> 49 -> 51,183,0.10081968,0.08,0.228,10.0,0.00546448087431694,0.546448087431694,0.015467080474459034,Flagged (low volume),Minor route
29 -> 30 -> 32 -> 37,176,0.50767046,0.07,1.8175,4.0,0.0,0.0,0.014875443516419614,Flagged (low volume),Minor route
29 -> 30 -> 31 -> 32 -> 36 -> 37,78,0.07666667,0.07,0.13149999,6.0,0.15384615384615385,15.384615384615385,0.006592526103867785,Exclude from ranking,Minor route
29 -> 30 -> 32 -> 34 -> 35 -> 37 -> 38,75,14.998667,10.25,50.66,7.0,0.02666666666666667,2.666666666666667,0.006338967407565177,Exclude from ranking,Minor route
29 -> 30 -> 31 -> 32 -> 35 -> 37,71,0.09605634,0.09,0.17500001,6.0,0.16901408450704225,16.901408450704224,0.006000889145828367,Exclude from ranking,Minor route
33 -> 34 -> 35 -> 37,70,0.0065714284,0.01,0.01,4.0,0.014285714285714285,1.4285714285714286,0.005916369580394165,Exclude from ranking,Minor route
29 -> 30 -> 32 -> 34 -> 36 -> 37 -> 38,66,9.733182,5.985,32.835,7.0,0.015151515151515152,1.5151515151515151,0.0055782913186573566,Exclude from ranking,Minor route
33 -> 34 -> 36 -> 37,65,0.01,0.01,0.02,4.0,0.0,0.0,0.005493771753223154,Exclude from ranking,Minor route
39 -> 40 -> 41 -> 43 -> 45 -> 47 -> 48 -> 49,60,0.039333332,0.03,0.09,8.0,0.016666666666666666,1.6666666666666667,0.005071173926052142,Exclude from ranking,Minor route
39 -> 40 -> 41 -> 44 -> 45 -> 47 -> 48 -> 49,55,0.03563636,0.03,0.083,8.0,0.01818181818181818,1.8181818181818181,0.00464857609888113,Exclude from ranking,Minor route
29 -> 30 -> 33 -> 34 -> 35 -> 36 -> 37,52,0.39903846,0.08,0.99,7.0,0.19230769230769232,19.230769230769234,0.004395017402578523,Exclude from ranking,Minor route
29 -> 30 -> 31 -> 32 -> 34 -> 36 -> 37,45,0.123111114,0.09,0.15799999,7.0,0.1111111111111111,11.11111111111111,0.0038033804445391063,Exclude from ranking,Minor route
29 -> 30 -> 31 -> 32 -> 34 -> 35 -> 37,42,0.105714284,0.09,0.249,7.0,0.023809523809523808,2.380952380952381,0.0035498217482364995,Exclude from ranking,Minor route
29 -> 30 -> 31 -> 33 -> 35 -> 37,31,0.10677419,0.03,0.04,6.0,0.0,0.0,0.002620106528460273,Exclude from ranking,Minor route
29 -> 30 -> 31 -> 33 -> 34 -> 36,27,0.031851854,0.03,0.047,6.0,0.0,0.0,0.002282028266723464,Exclude from ranking,Minor route
29 -> 30 -> 31 -> 33 -> 36 -> 37,26,0.032307692,0.03,0.04,6.0,0.0,0.0,0.0021975087012892614,Exclude from ranking,Minor route
30 -> 31 -> 33 -> 34 -> 35 -> 37,24,0.025416667,0.024999999,0.04,6.0,0.0,0.0,0.002028469570420857,Exclude from ranking,Minor route
39 -> 40 -> 41 -> 43 -> 45 -> 47 -> 48 -> 49 -> 50 -> 51,24,0.064166665,0.06,0.118499994,10.0,0.20833333333333334,20.833333333333336,0.002028469570420857,Exclude from ranking,Minor route
29 -> 30 -> 31 -> 33 -> 34 -> 35,21,0.18666667,0.03,0.04,6.0,0.0,0.0,0.0017749108741182498,Exclude from ranking,Minor route
30 -> 31 -> 33 -> 34 -> 36 -> 37,21,0.10428572,0.03,0.12,6.0,0.0,0.0,0.0017749108741182498,Exclude from ranking,Minor route
39 -> 40 -> 41 -> 43 -> 45 -> 47 -> 50 -> 51,20,0.033499997,0.03,0.052,8.0,0.0,0.0,0.0016903913086840471,Exclude from ranking,Minor route
39 -> 40 -> 41 -> 43 -> 45 -> 47 -> 49 -> 51,19,0.031578947,0.03,0.044,8.0,0.0,0.0,0.0016058717432498452,Exclude from ranking,Minor route
47 -> 48 -> 49 -> 51,19,0.018421054,0.01,0.051,4.0,0.0,0.0,0.0016058717432498452,Exclude from ranking,Minor route
39 -> 40 -> 41 -> 44 -> 45 -> 47 -> 48 -> 49 -> 50 -> 51,18,0.06777778,0.06,0.1215,10.0,0.1111111111111111,11.11111111111111,0.0015213521778156425,Exclude from ranking,Minor route
39 -> 40 -> 41 -> 44 -> 45 -> 47 -> 49 -> 51,17,5.950588,0.03,20.184,8.0,0.0,0.0,0.0014368326123814401,Exclude from ranking,Minor route
29 -> 30 -> 31 -> 32 -> 36 -> 37 -> 38,17,1.964706,1.04,5.674,7.0,0.0,0.0,0.0014368326123814401,Exclude from ranking,Minor route
29 -> 30 -> 33 -> 34 -> 37,17,2.42,3.47,4.19,5.0,0.11764705882352941,11.76470588235294,0.0014368326123814401,Exclude from ranking,Minor route
29 -> 31 -> 33 -> 34 -> 35 -> 37,17,0.030588234,0.03,0.042,6.0,0.0,0.0,0.0014368326123814401,Exclude from ranking,Minor route
29 -> 30 -> 33 -> 35 -> 37 -> 38,16,7.98,2.83,24.0375,6.0,0.0,0.0,0.0013523130469472377,Exclude from ranking,Minor route
30 -> 33 -> 34 -> 35 -> 37 -> 38,16,11.52625,13.365,19.62,6.0,0.0625,6.25,0.0013523130469472377,Exclude from ranking,Minor route
29 -> 33 -> 34 -> 35 -> 37 -> 38,16,24.506874,15.085,72.3475,6.0,0.0,0.0,0.0013523130469472377,Exclude from ranking,Minor route
29 -> 30 -> 33 -> 36 -> 37 -> 38,16,11.98125,9.98,30.6,6.0,0.0,0.0,0.0013523130469472377,Exclude from ranking,Minor route
47 -> 48 -> 50 -> 51,16,0.015,0.01,0.05,4.0,0.0,0.0,0.0013523130469472377,Exclude from ranking,Minor route
29 -> 30 -> 31 -> 32 -> 35 -> 37 -> 38,16,1.3731251,0.945,4.58,7.0,0.0,0.0,0.0013523130469472377,Exclude from ranking,Minor route
40 -> 41 -> 44 -> 45 -> 47 -> 48 -> 50 -> 51,15,0.037333332,0.03,0.08,8.0,0.0,0.0,0.0012677934815130355,Exclude from ranking,Minor route
29 -> 30 -> 33 -> 34 -> 35 -> 38,15,17.704668,11.04,44.264,6.0,0.0,0.0,0.0012677934815130355,Exclude from ranking,Minor route
30 -> 33 -> 34 -> 36 -> 37 -> 38,15,22.286001,10.03,80.781,6.0,0.0,0.0,0.0012677934815130355,Exclude from ranking,Minor route
39 -> 40 -> 41 -> 44 -> 45 -> 48 -> 49 -> 51,13,0.03153846,0.03,0.054,8.0,0.0,0.0,0.0010987543506446307,Exclude from ranking,Minor route
39 -> 41 -> 43 -> 45 -> 47 -> 48 -> 49 -> 51,13,0.036153845,0.03,0.074,8.0,0.0,0.0,0.0010987543506446307,Exclude from ranking,Minor route
29 -> 32 -> 33 -> 34 -> 36 -> 37,13,0.073846154,0.07,0.12,6.0,0.0,0.0,0.0010987543506446307,Exclude from ranking,Minor route
29 -> 31 -> 33 -> 34 -> 36 -> 37,12,0.027499998,0.03,0.0345,6.0,0.0,0.0,0.0010142347852104285,Exclude from ranking,Minor route
39 -> 40 -> 41 -> 44 -> 45 -> 47 -> 50 -> 51,12,0.03833333,0.03,0.093499996,8.0,0.08333333333333333,8.333333333333332,0.0010142347852104285,Exclude from ranking,Minor route
29 -> 33 -> 34 -> 36 -> 37 -> 38,12,10.5975,8.245,18.6355,6.0,0.0,0.0,0.0010142347852104285,Exclude from ranking,Minor route
39 -> 40 -> 41 -> 43 -> 45 -> 47 -> 48 -> 50,12,0.024999999,0.02,0.0345,8.0,0.0,0.0,0.0010142347852104285,Exclude from ranking,Minor route
40 -> 41 -> 43 -> 45 -> 47 -> 48 -> 49 -> 51,11,0.024545453,0.02,0.04,8.0,0.0,0.0,0.0009297152197762259,Exclude from ranking,Minor route
39 -> 40 -> 44 -> 45 -> 47 -> 48 -> 50 -> 51,11,0.02818182,0.03,0.035,8.0,0.0,0.0,0.0009297152197762259,Exclude from ranking,Minor route
29 -> 30 -> 32 -> 33 -> 35 -> 37,11,0.40545455,0.11,1.56,6.0,0.0,0.0,0.0009297152197762259,Exclude from ranking,Minor route
39 -> 40 -> 41 -> 43 -> 45 -> 48 -> 49 -> 51,11,0.037272725,0.04,0.055,8.0,0.0,0.0,0.0009297152197762259,Exclude from ranking,Minor route
36 -> 37,10,0.0009999999,0.0,0.0055,2.0,0.0,0.0,0.0008451956543420236,Exclude from ranking,Minor route
30 -> 32 -> 33 -> 34 -> 36 -> 37,10,0.099,0.06,0.287,6.0,0.0,0.0,0.0008451956543420236,Exclude from ranking,Minor route
39 -> 40 -> 44 -> 45 -> 47 -> 48 -> 49 -> 51,10,0.045999996,0.04,0.08,8.0,0.0,0.0,0.0008451956543420236,Exclude from ranking,Minor route
30 -> 32 -> 33 -> 34 -> 35 -> 37,9,0.09111111,0.08,0.204,6.0,0.0,0.0,0.0007606760889078213,Exclude from ranking,Minor route
39 -> 40 -> 41 -> 44 -> 45 -> 47 -> 48 -> 50,9,0.027777778,0.03,0.036,8.0,0.0,0.0,0.0007606760889078213,Exclude from ranking,Minor route
29 -> 30 -> 32 -> 33 -> 34 -> 35,9,0.24222223,0.07,0.794,6.0,0.0,0.0,0.0007606760889078213,Exclude from ranking,Minor route
39 -> 40 -> 43 -> 45 -> 47 -> 48 -> 49 -> 51,8,0.02625,0.03,0.03,8.0,0.0,0.0,0.0006761565234736189,Exclude from ranking,Minor route
39 -> 40 -> 41 -> 44 -> 47 -> 48 -> 49 -> 51,8,0.028749999,0.03,0.04,8.0,0.0,0.0,0.0006761565234736189,Exclude from ranking,Minor route
29 -> 30 -> 33 -> 34 -> 35 -> 36 -> 37 -> 38,8,4.03625,3.2,8.54,8.0,0.0,0.0,0.0006761565234736189,Exclude from ranking,Minor route
39 -> 41 -> 44 -> 45 -> 47 -> 48 -> 50 -> 51,8,0.03875,0.035,0.0695,8.0,0.0,0.0,0.0006761565234736189,Exclude from ranking,Minor route
39 -> 40 -> 41 -> 43 -> 45 -> 48 -> 50 -> 51,8,0.03875,0.024999999,0.086500004,8.0,0.0,0.0,0.0006761565234736189,Exclude from ranking,Minor route
29 -> 30 -> 31 -> 32 -> 34 -> 35 -> 37 -> 38,7,1.9171429,0.97,4.2990003,8.0,0.0,0.0,0.0005916369580394166,Exclude from ranking,Minor route
29 -> 30 -> 31 -> 32 -> 34 -> 36 -> 37 -> 38,7,2.0942857,1.19,5.374,8.0,0.0,0.0,0.0005916369580394166,Exclude from ranking,Minor route
40 -> 41 -> 43 -> 45 -> 47 -> 48 -> 50 -> 51,7,0.024285715,0.02,0.041,8.0,0.14285714285714285,14.285714285714285,0.0005916369580394166,Exclude from ranking,Minor route
29 -> 32 -> 33 -> 34 -> 35 -> 37,7,0.084285714,0.08,0.13,6.0,0.0,0.0,0.0005916369580394166,Exclude from ranking,Minor route
39 -> 41 -> 43 -> 45 -> 47 -> 48 -> 50 -> 51,7,0.065714285,0.03,0.16,8.0,0.0,0.0,0.0005916369580394166,Exclude from ranking,Minor route
39 -> 40 -> 41 -> 43 -> 47 -> 48 -> 49 -> 51,6,0.028333334,0.03,0.037499998,8.0,0.0,0.0,0.0005071173926052143,Exclude from ranking,Minor route
39 -> 40 -> 41 -> 44 -> 45 -> 48 -> 50 -> 51,6,0.03333333,0.03,0.055,8.0,0.0,0.0,0.0005071173926052143,Exclude from ranking,Minor route
43 -> 45 -> 47 -> 48 -> 50 -> 51,6,0.015,0.015,0.02,6.0,0.0,0.0,0.0005071173926052143,Exclude from ranking,Minor route
29 -> 30 -> 33 -> 34,6,3.5866668,4.11,4.75,4.0,0.0,0.0,0.0005071173926052143,Exclude from ranking,Minor route
40 -> 41 -> 44 -> 45 -> 47 -> 48 -> 49 -> 51,6,0.048333332,0.03,0.1175,8.0,0.0,0.0,0.0005071173926052143,Exclude from ranking,Minor route
39 -> 40 -> 41 -> 42 -> 43 -> 45 -> 47 -> 48 -> 50 -> 51,5,0.15599999,0.04,0.506,10.0,0.0,0.0,0.0004225978271710118,Exclude from ranking,Minor route
39 -> 40 -> 41 -> 42 -> 43 -> 45 -> 47 -> 48 -> 49 -> 51,5,0.238,0.13,0.684,10.0,0.0,0.0,0.0004225978271710118,Exclude from ranking,Minor route
35 -> 37,5,0.0019999999,0.0,0.007999999,2.0,0.0,0.0,0.0004225978271710118,Exclude from ranking,Minor route
39 -> 40 -> 41 -> 44 -> 47 -> 48 -> 50 -> 51,5,0.178,0.03,0.63199997,8.0,0.0,0.0,0.0004225978271710118,Exclude from ranking,Minor route
32 -> 33 -> 34 -> 36 -> 37,5,0.134,0.01,0.5,5.0,0.0,0.0,0.0004225978271710118,Exclude from ranking,Minor route
29 -> 30 -> 33 -> 34 -> 36 -> 38,5,13.615999,10.12,32.014,6.0,0.0,0.0,0.0004225978271710118,Exclude from ranking,Minor route
39 -> 40 -> 41 -> 43 -> 47 -> 48 -> 50 -> 51,4,0.072500005,0.08,0.09,8.0,0.0,0.0,0.00033807826173680943,Exclude from ranking,Minor route
29 -> 30 -> 32 -> 33 -> 34 -> 36,4,2.5375,0.14,8.337,6.0,0.0,0.0,0.00033807826173680943,Exclude from ranking,Minor route
32 -> 33 -> 34 -> 35 -> 37,4,2.2475,1.51,5.516,5.0,0.0,0.0,0.00033807826173680943,Exclude from ranking,Minor route
39 -> 41 -> 44 -> 45 -> 47 -> 48 -> 49 -> 51,4,0.0425,0.03,0.081,8.0,0.0,0.0,0.00033807826173680943,Exclude from ranking,Minor route
29 -> 32 -> 36 -> 37,4,0.04,0.035,0.057,4.0,0.25,25.0,0.00033807826173680943,Exclude from ranking,Minor route
29 -> 30 -> 31 -> 32 -> 33 -> 34 -> 35 -> 37 -> 38,4,2.8899999,2.845,5.321,9.0,0.0,0.0,0.00033807826173680943,Exclude from ranking,Minor route
39 -> 40 -> 43 -> 45 -> 47 -> 48 -> 50 -> 51,4,0.0425,0.024999999,0.0895,8.0,0.0,0.0,0.00033807826173680943,Exclude from ranking,Minor route
39 -> 40 -> 41 -> 43 -> 45 -> 47 -> 48 -> 51,3,0.03,0.03,0.03,8.0,0.0,0.0,0.0002535586963026071,Exclude from ranking,Minor route
39 -> 40 -> 41 -> 45 -> 47 -> 48 -> 50 -> 51,3,0.03,0.03,0.03,8.0,0.0,0.0,0.0002535586963026071,Exclude from ranking,Minor route
29 -> 30 -> 32 -> 33 -> 36 -> 37,3,0.21333332,0.22,0.292,6.0,0.0,0.0,0.0002535586963026071,Exclude from ranking,Minor route
29 -> 30 -> 33 -> 36,3,0.026666665,0.03,0.039,4.0,0.0,0.0,0.0002535586963026071,Exclude from ranking,Minor route
29 -> 30 -> 36 -> 37,3,2.743333,4.07,4.097,4.0,0.0,0.0,0.0002535586963026071,Exclude from ranking,Minor route
29 -> 32 -> 35 -> 37,3,0.05,0.05,0.05,4.0,0.3333333333333333,33.33333333333333,0.0002535586963026071,Exclude from ranking,Minor route
39 -> 40 -> 41 -> 43 -> 44 -> 45 -> 47 -> 48 -> 49,3,0.07,0.08,0.08,9.0,0.0,0.0,0.0002535586963026071,Exclude from ranking,Minor route
29 -> 31 -> 32 -> 33 -> 34 -> 36 -> 37,3,0.06,0.06,0.06,7.0,0.0,0.0,0.0002535586963026071,Exclude from ranking,Minor route
39 -> 40 -> 41 -> 42 -> 44 -> 45 -> 47 -> 48 -> 49 -> 51,3,0.11666667,0.12,0.165,10.0,0.0,0.0,0.0002535586963026071,Exclude from ranking,Minor route
29 -> 30 -> 32 -> 37 -> 38,3,7.02,5.98,9.724,5.0,0.0,0.0,0.0002535586963026071,Exclude from ranking,Minor route
29 -> 30 -> 36,2,1.735,1.735,3.2515001,3.0,0.0,0.0,0.00016903913086840471,Exclude from ranking,Minor route
29 -> 30 -> 31 -> 32 -> 37,2,0.07,0.07,0.08800001,5.0,0.0,0.0,0.00016903913086840471,Exclude from ranking,Minor route
30 -> 32 -> 36 -> 37,2,0.060000002,0.060000002,0.069,4.0,0.5,50.0,0.00016903913086840471,Exclude from ranking,Minor route
29 -> 31 -> 32 -> 33 -> 34 -> 35 -> 37,2,0.125,0.125,0.2015,7.0,0.0,0.0,0.00016903913086840471,Exclude from ranking,Minor route
29 -> 30 -> 31 -> 32 -> 33 -> 34 -> 36 -> 37 -> 38,2,1.6,1.6,2.4459999,9.0,0.0,0.0,0.00016903913086840471,Exclude from ranking,Minor route
29 -> 30 -> 32 -> 33 -> 34 -> 37,2,3.495,3.495,3.4995,6.0,0.0,0.0,0.00016903913086840471,Exclude from ranking,Minor route
29 -> 33 -> 35 -> 37,2,0.045,0.045,0.0495,4.0,0.0,0.0,0.00016903913086840471,Exclude from ranking,Minor route
29 -> 30 -> 32 -> 36,2,2.025,2.025,3.8025,4.0,0.5,50.0,0.00016903913086840471,Exclude from ranking,Minor route
29 -> 30 -> 32 -> 36 -> 38,2,6.02,6.02,8.783,5.0,0.0,0.0,0.00016903913086840471,Exclude from ranking,Minor route
29 -> 30 -> 31 -> 33 -> 34 -> 35 -> 38,2,0.48999998,0.48999998,0.742,7.0,0.0,0.0,0.00016903913086840471,Exclude from ranking,Minor route
43 -> 45 -> 47 -> 48 -> 49 -> 51,2,0.04,0.04,0.058,6.0,0.0,0.0,0.00016903913086840471,Exclude from ranking,Minor route
29 -> 30 -> 34 -> 36 -> 37,2,1.78,1.78,3.319,5.0,0.0,0.0,0.00016903913086840471,Exclude from ranking,Minor route
37,2,0.0,0.0,0.0,1.0,0.0,0.0,0.00016903913086840471,Exclude from ranking,Minor route
