Station,PartsObserved,FailedParts,FailureRate,PartsWithOutgoingTransition,PartsEndingAtStation,EndingAtStationRate,Confidence
29,1119629,6546,0.584657953661436,1119629,0,0.0,High
30,1119811,6551,0.5850094346278077,1119811,0,0.0,High
31,39003,106,0.2717739661051714,39003,0,0.0,High
32,24543,1106,4.506376563582284,24543,0,0.0,High
33,1114695,5546,0.4975352002117171,1114695,0,0.0,High
34,1115118,5718,0.5127708457759627,1115112,6,0.0005380596492927205,High
35,552108,3177,0.5754308939555305,551639,469,0.08494714802176387,High
36,569032,3391,0.5959243065416355,568637,395,0.06941613125448129,High
37,1120394,6556,0.5851512949908693,25241,1095153,97.74713181255879,High
38,27142,212,0.7810772971778056,0,27142,100.0,High
39,59908,303,0.5057755224677839,59908,0,0.0,High
40,59914,304,0.5073939313015321,59914,0,0.0,High
41,59913,304,0.5074024001468797,59913,0,0.0,High
42,15,0,0.0,15,0,0.0,Low
43,30551,159,0.520441229419659,30551,0,0.0,High
44,29804,146,0.48986713192860015,29804,0,0.0,High
45,59932,304,0.5072415404124675,59932,0,0.0,High
46,1,0,0.0,1,0,0.0,Low
47,59955,304,0.5070469518805771,59955,0,0.0,High
48,59923,303,0.5056489161090065,59923,0,0.0,High
49,29673,153,0.5156202608431908,29555,118,0.3976679135914805,High
50,30359,158,0.5204387496294345,30337,22,0.0724661550116934,High
51,59853,302,0.5045695286785958,0,59853,100.0,High
